B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
0.163266224489796,1.35942857142857,-1.3031471992688843,-0.9426071170866712,0.1111949899244519,A
0.163266224489796,1.50134693877551,-1.3476864613892587,-0.8549709238960792,0.0727586134863698,A
0.163266224489796,1.64326530612245,-1.394486798392839,-0.7853620397490143,0.0316677685796144,A
0.163266224489796,1.78518367346939,-1.4437898463357466,-0.7288202906916932,-0.012409931935618,A
0.163266224489796,1.92710204081633,-1.4958763760561995,-0.6820361067247674,-0.0598731248259758,A
0.163266224489796,2.06902040816327,-1.5510751592273562,-0.6427254247321466,-0.111205085870543,A
0.163266224489796,2.2109387755102,-1.6097742580205308,-0.6092637994846204,-0.1669990890974506,A
0.163266224489796,2.35285714285714,-1.6724355335886276,-0.5804653749655959,-0.2279941184987767,A
0.163266224489796,2.49477551020408,-1.73961341447939,-0.5554447176629719,-0.2951264365333657,A
0.163266224489796,2.63669387755102,-1.8119792454608148,-0.5335276277860745,-0.3696062558413764,A
0.163266224489796,2.77861224489796,-1.8903527438572552,-0.5141918778413589,-0.4530357480795433,A
0.163266224489796,2.9205306122449,-1.9757418912748843,-0.4970268075180234,-0.5475983716367718,A
0.163266224489796,3.06244897959184,-2.069390962579857,-0.4817051391561007,-0.6563783922269051,A
0.163266224489796,3.20436734693878,-2.172830321903088,-0.4679629155425359,-0.7839353542612364,A
0.163266224489796,3.34628571428571,-2.2879020942510193,-0.4555849560732563,-0.9374245302018812,A
0.163266224489796,3.48820408163265,-2.4166754633288456,-0.4443941413461388,-1.129034673435369,A
0.163266224489796,3.63012244897959,-2.5609802316611723,-0.434243401074223,-1.3821859126295195,A
0.163266224489796,3.77204081632653,-2.720733574651274,-0.4250096428544788,-1.7516596045530406,A
0.163266224489796,3.91395918367347,-2.888806888169734,-0.4165890955090678,-2.4279563660432246,A
0.163266224489796,4.05587755102041,-3.0387639592519737,-0.4088936972638954,-3.502709979434066,A
0.163266224489796,4.19779591836735,-3.114313975733213,-0.401848259217102,-2.0806493857366517,A
0.163266224489796,4.33971428571429,-3.0698161820966674,-0.3953882517435576,-1.5433183547959362,A
0.163266224489796,4.48163265306122,-2.935122104938461,-0.3894579826266871,-1.2058512058608553,A
0.163266224489796,4.62355102040816,-2.770801483795376,-0.3840091814225402,-0.957544667635831,A
0.163266224489796,4.7654693877551,-2.6106462504806363,-0.3789998422328765,-0.7598557766414884,A
0.163266224489796,4.90738775510204,-2.4651529518649595,-0.3743932530728135,-0.594794900552541,A
0.163266224489796,5.04930612244898,-2.335473243495662,-0.3701572357872674,-0.452499899359327,A
0.163266224489796,5.19122448979592,-2.2200206693493416,-0.366263489875516,-0.3269757785782318,A
0.163266224489796,5.33314285714286,-2.11671771392566,-0.3626870620708875,-0.2143041935050491,A
0.163266224489796,5.4750612244898,-2.023651111851121,-0.359405897327009,-0.1117822936276866,A
0.163266224489796,5.61697959183673,-1.939214398990304,-0.3564004663920416,-0.0174661657614693,A
0.163266224489796,5.75889795918367,-1.862097772238766,-0.3536534477193892,0.0700896399084413,A
0.163266224489796,5.90081632653061,-1.791240599542334,-0.3511494581126159,0.1519896498549823,A
0.163266224489796,6.04273469387755,-1.7257819404962151,-0.3488748296198019,0.2290974131819477,A
0.163266224489796,6.18465306122449,-1.665018471608923,-0.3468174126966313,0.3021012407696825,A
0.163266224489796,6.32657142857143,-1.6083710278528898,-0.3449664098299837,0.3715589839663075,A
0.163266224489796,6.46848979591837,-1.5553586391782106,-0.3433122346982444,0.4379294087342838,A
0.163266224489796,6.61040816326531,-1.5055785230715817,-0.3418463894437094,0.5015946707756864,A
0.163266224489796,6.75232653061224,-1.4586906534962638,-0.34056135861112,0.5628767505293699,A
0.163266224489796,6.89424489795918,-1.414405798520474,-0.3394505173860183,0.6220497164477939,A
0.163266224489796,7.03616326530612,-1.3724761846821916,-0.3385080540697832,0.6793490381506679,A
0.163266224489796,7.17808163265306,-1.3326881505437476,-0.3377288993382757,0.7349787033735334,A
0.163266224489796,7.32,-1.294856322783997,-0.3371086687828561,0.7891168187426852,A
